ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,
371,네파 브랜드 임을 쉽게 알 수 있다,제품/브랜드,브랜드 이미지,브랜드 인지도,,
372,안유진의 발랄하고 신선한 모습,모델,호감도 높음,발랄함|신선함,,
373,모델을 잘 뽑은 것 같다,모델,호감도 높음,모델,,
374,확 닿질 않는다,광고 임팩트,약한 임팩트,,임팩트,
375,확 끌어당기는 매력적인 요소가 안보인다 무슨이야기를 하고자하는지 이해하기 어려웠다,광고 임팩트,약한 임팩트,없음,매력적인 요소|이해하기 어려움,
376,걸을 때 편안할 것 같아서,기능성 강조,긍정적 평가,편안함,,
377,분위기가 상큼하고 녹색의 자연과 잘 어울려서,비주얼,색감,분위기|자연|어울림,,
378,신발의 편안하다는 느낌을 안겨줌,제품/브랜드,기능성 강조,편안함|신발,,
379,모델이 밝고 네파의 좋은 점이 잘 부각된 것 같다,광고 구성,긍정적 평가,모델|네파,,
380,무난함 활동적인 분위기,광고 전반,평범함,활동성,무난함,
381,이유 없음,없음/모름,,,,
382,신발디자인이 마음에 든다,제품/브랜드,디자인,신발디자인,,
383,광고모델,모델,호감도 높음,,,
384,모델과 제품이 잘 어울린다,모델,호감도 높음,모델|제품,,
385,모델은 마음에 들지만 무엇을 표현하는지 잘 모르겠다,모델,호감도 높음,모델,광고 표현|이해도,
386,모델도 예쁘고 옷도 잘어울린다,모델,호감도 높음,모델|예쁨|어울림,,
387,무난하다,전반적 평가,중립적,,무난함,
388,시선이 가지 않음,광고 임팩트,약한 임팩트,,시선,
389,특별히 띄는게 없음,광고 전반,기억에 남지 않음,,특별한 점 없음,
390,매우 싱그럽다,감성 소구,긍정적,싱그러움,,
391,광고 분위기가 좋고 신발이 편해보여서,전반적 평가,긍정적,광고 분위기|신발,,
392,신발 모양이 크게 보여서 디테일을 잘 볼 수 있다,비주얼,긍정적 평가,디테일|신발 모양,,
393,공감이 간다,감성 소구,긍정적,공감,,
394,이유 없음,없음/모름,,,,
395,제품과 광고 분위기가 잘 어울린다.,전반적 평가,긍정적,제품|광고 분위기|어울림,,
396,아이브 유진 좋음 산뜻한 이미지 가볍게 잘 걸을 수 있을 것 같고 신발을 크게 보이게 해서 디자인을 자세히 볼 수 있는것도 좋았음,광고 전반,신선함,이미지|디자인,,
397,친근한 모델,모델,호감도 높음,친근한 모델,,
398,모델이 광고와 잘 어울려서,모델,호감도 높음,모델|어울림,,
399,흥미부족,광고 임팩트,약한 임팩트,없음,흥미부족,
400,광고모델이 매우 마음에 든다.,모델,호감도 높음,광고모델,,
401,이유 없음,없음/모름,,,,
402,편해보인다,감성 소구,긍정적,편안함,,
403,광고 음악,음악/사운드,긍정적 평가,음악,,
404,즐길수록 커진다,메시지/카피,독창성,즐거움|성장,,
405,아이들이 좋아하는 모델,모델,호감도 높음,아이들|모델,,
406,트래킹화의 기능을 경쾌하게 표현,기능성 강조,긍정적 평가,트래킹화|기능|경쾌한 표현,,
407,모델이 마음에 든다,모델,호감도 높음,모델,,
408,젊음의 싱싱하고 건강함,감성 소구,긍정적,젊음|싱싱함|건강함,,
409,너무 평범하다,광고 전반,평범함,,평범함,
410,광고모델이 마음에 든다,모델,호감도 높음,광고모델,,
411,신발이 좋아뵈고 사고 싶은 생각이든다,구매 의도,긍정적,신발|구매 의사,,
412,광고제품과 모델이 잘 어울리네요,모델,긍정적 평가,광고제품|모델|어울림,,
413,음악,Not enough data,Not enough data,,,
414,광고 모델이 코봉이 같아서,모델,호감도 낮음,코봉,,
415,좋음,Not enough data,Not enough data,,,
416,즐길수록 만족도가 높아져서,감성 소구,긍정적,만족도|즐거움,,
417,일반 광고랑 비슷하다,광고 전반,평범함,,일반 광고|비슷함,
418,모름,Not enough data,Not enough data,,,
419,광고가 아웃도어 브랜드와 걸맞게 밝고 활기찬 느낌이라 좋다,전반적 평가,긍정적,밝은 느낌|활기찬 느낌|아웃도어 브랜드와 어울림,,
420,상큼함,Not enough data,Not enough data,,,
421,그냥 그렇다,전반적 평가,중립적,,,
422,특별한 재미나 새로운 정보가 없다,광고 전반,평범함,없음,재미|새로운 정보,
423,모델의 생동감 넘치는 모습이 보기에 개운함,모델,호감도 높음,생동감|개운함,,
424,초록의 배경이 상큼하다,시각적 요소,색감,초록|배경|상큼함,,
425,뭘 광고하는지 모르겠음,메시지/카피,이해도 낮음,,광고 내용|제품,
426,상큼 발랄 가벼워보인다,감성 소구,긍정적,상큼|발랄|가벼움,,
427,제품 이미지와 어울린다.,제품/브랜드,긍정적 평가,제품 이미지|어울림,,
428,가벼움이 자유로움으로 느껴졌다,감성 소구,긍정적,가벼움|자유로움,,
429,광고 분위기가 별로임,광고 전반,부정적,없음,분위기,
430,평범한 주제와 진행,광고 전반,평범함,없음,평범한 주제|진행,
431,광고상품에 관심을 갖게 해주고 광고내용이 흥미롭고 인상적으로 느껴지고 네파 광고라고 기억하게 해줍니다.,광고 임팩트,강한 임팩트,관심|흥미|인상적|기억,,
432,제품의 소개도 쉽게 이해가되고 분위기가 밝아서 봄에 잘 어울린다,광고 구성,긍정적 평가,제품 소개|이해도|분위기,,
433,기존 네파 광고보다는 배경이나 광고모델이 대중적으로 변한 것 같음. 이전에는 전문적인 산악인을 대상으로 하는 브랜드 느낌이 강했고 광고 모델도 나이가 30대 후반 정도로 나이가 많은 편이었는데 분위기나 접근성이 가벼워지고 수월해졌다는 느낌이 듬. 다만 전문적인 아웃도어 브랜드 이미지는 느껴지지 않음. 로고를 자세히 보지않았따면 스케쳐스 광고인 줄 알았을지도.,광고 전반,신선함,대중적 변화|접근성 향상,전문성 부족,
434,아이브유진. 네파. 초록. 산,비주얼,전체적 분위기,아이브유진|네파|초록|산,,
435,발랄하고 상큼한 분위기,감성 소구,긍정적,발랄함|상큼함,,
436,상큼한 모델과 배경,모델,호감도 높음,상큼한 모델|배경,,
437,신선함,Not enough data,Not enough data,,,
438,그냥 좋아서요,전반적 평가,긍정적,좋음,,
439,광고의 내용이 이해가 쉬워서,메시지/카피,이해도 높음,이해,,
440,평범,Not enough data,Not enough data,,,
441,모델,Not enough data,Not enough data,,,
442,모델이 어울려서,모델,호감도 높음,어울림,,
443,광고 모델과 광고 배경이 브랜드와 잘 어울려서,모델,호감도 높음,모델|배경,,
444,편안함,Not enough data,Not enough data,,,
445,음악이 좋다,음악/사운드,긍정적 평가,음악,,
446,모델이 이쁘다,모델,호감도 높음,모델|이쁨,,
447,메시지가 기억에 남지 않는다,메시지/카피,기억력 낮음,없음,메시지,
448,일반적인 아웃도어광고와 차별성을 못 느끼겠다,광고 전반,평범함,없음,차별성,
449,광고가 좋다,전반적 평가,긍정적,광고,,
450,밝아보인다,시각적 요소,색감,밝음,,
451,기분이 새롭다.,광고 전반,신선함,기분|새로움,,
452,전반적인 광고 느낌이나 모델이나 문구 등이 평범하고 루즈해서,광고 임팩트,약한 임팩트,모델|문구,평범함|루즈함,
453,평범하다,광고 임팩트,약한 임팩트,없음,평범함,
454,특이성이 없음,광고 전반,평범함,,특이성,
455,아웃도어 광고에 알맞는 컨셉,광고 전반,신선함,컨셉,,
456,들판과 모델의 밝고 환한 모습과 음악이 쾌할해서 좋다,비주얼,전체적 분위기,들판|모델|밝은 모습|환한 모습|음악|쾌활함,,
457,광고 모델이 좋아하는 아이돌이라서,모델,호감도 높음,아이돌,,
458,특별한 임팩트가 없는 것 같다.,광고 임팩트,약한 임팩트,,임팩트,
459,그다지 인상적이지 않다,광고 전반,기억에 남지 않음,,인상적이지 않음,
460,배경과 네파 제품이 잘 어울린다,비주얼,배경,배경|제품|어울림,,
461,타 제품과의 차별성 약함,광고 전반,평범함,없음,차별성,
462,무난하다,광고 전반,평범함,무난함,,
463,모델이 네파와 안어울림. 신발이 안 예쁨,모델,호감도 낮음,없음,모델|신발,
464,비싸보임,제품/브랜드,디자인,,비싸보임,
465,제품과 잘 어울린다,모델,긍정적 평가,제품|어울림,,
466,신발에 대한 정보가 부족하다,제품/브랜드,부정적 평가,,정보 부족|신발 정보,
467,친밀감이 생김,감성 소구,긍정적,친밀감,,
468,광고모델 분위기 느낌이 잘 어울리는 것 같다,모델,호감도 높음,광고모델|분위기|느낌,,
469,가볍고 산뜻하다,제품/브랜드,긍정적 평가,가벼움|산뜻함,,
470,영어로 조이,기타,,,,
471,모델이상큼해서 마음에든다,모델,호감도 높음,모델|상큼함,,
472,활동적으로보여서,광고 전반,신선함,활동성,,
473,평범함,Not enough data,Not enough data,,,
474,별로라서 기억이 남지 않는다,광고 전반,기억에 남지 않음,,기억,
475,문구 배경 모델,광고 구성,긍정적 평가,문구|배경|모델,,
476,모델이 발랄하고 배경이 좋다.,광고 구성,긍정적 평가,모델|배경,,
477,모델이 이제는 새롭지가 않고 광고도 단조롭다.,광고 전반,평범함,모델|광고,새롭지 않음|단조로움,
478,모델의 경쾌한 모습,모델,호감도 높음,경쾌한 모습,,
479,가볍고 자유로워 보여서 좋습니다,감성 소구,긍정적,가벼움|자유로움,,
480,모델이 최신 걸그룹 멤버여서 맘에 든다,모델,호감도 높음,최신 걸그룹 멤버|맘에 듦,,
481,신발을 신어 체험 해 보고싶은 맘이 드네요,구매 의도,긍정적,체험|신발,,
482,기능성 강조,기능성 강조,긍정적 평가,,,
483,평범함,Not enough data,Not enough data,,,
484,모델이 밝고 명랑해서 분위기 자체가 밝아졌다 배경이 싱그러워서 기분이 좋다.,감성 소구,긍정적,모델|분위기|배경,,
485,잘 어울림,광고 전반,긍정적,어울림,,
486,수수한 거 같아서,광고 전반,평범함,,수수함,
487,모델과 운동화가 잘 어울린다 시원해 보인다,광고 구성,긍정적 평가,모델|운동화,,
488,이유 없음,없음/모름,,,,
489,탁 트인 자연의 모습이 보기 좋고 신발의 기능을 쉽게 잘 알 수 있어서,광고 구성,긍정적 평가,자연|신발 기능,,
490,쿠션감,Not enough data,Not enough data,,,
491,자연 배경,비주얼,배경,자연 배경,,
492,모델을 통해 무엇을 의미하는지 알수있다,모델,호감도 높음,모델|의미,,
493,어디서 본듯한 느낌,광고 전반,평범함,없음,식상함|익숙함,
494,안유진을 좋아하며 안유진이 푸른 들판을 편하게 걷는게 보기좋아서,모델,호감도 높음,안유진|푸른 들판,,
495,자연을 즐길수록 커진다,메시지/카피,독창성,자연|즐김,,
496,배경과 나레이션,비주얼,배경,배경|나레이션,,
497,운동화,Not enough data,Not enough data,,,
498,모델이 마음에 든다,모델,호감도 높음,모델,,
499,흥미있음,광고 임팩트,강한 임팩트,흥미|관심,,
500,똑같은 광고,광고 전반,평범함,,똑같은 광고,
501,별로 특별하지 않다,광고 전반,평범함,,특별하지 않음,
502,무난한 광고이다.,전반적 평가,중립적,,무난함,
503,평범,Not enough data,Not enough data,,,
504,활발한 분위기에 잘 어울린다,광고 전반,신선함,활발한 분위기|어울림,,
505,발랄하고도 밝은 음악,음악/사운드,긍정적 평가,발랄함|밝음,,
506,배경,Not enough data,Not enough data,,,
507,네파 신발 구매하여 신고 있음,제품/브랜드,긍정적 평가,구매|신발,없음,
508,발랄하고 내용이 재밌다,광고 전반,신선함,발랄함|재미,,
509,걷는것에 집중하는 장면,광고 구성,긍정적 평가,집중,,
510,눈에 띄지 않는다,광고 임팩트,약한 임팩트,,눈에 띄지 않음,
511,모델이 별로임,모델,호감도 낮음,없음,모델,
512,무난무난해서,광고 전반,평범함,,무난함,
513,설명이 쉽다,메시지/카피,이해도 높음,설명,,
514,제품이 마음에 들어서,제품/브랜드,긍정적 평가,제품,,
515,모델이 익숙하지 않아서,모델,호감도 낮음,없음,익숙하지 않은 모델,
516,음악은 마음에 든다,음악/사운드,긍정적 평가,음악,,
517,신발이 편안해보인다,제품/브랜드,기능성 강조,편안함|신발,,
518,너무 산뜻하다,비주얼,전체적 분위기,산뜻함,,
519,모델이 예쁘고 배경음악이좋음,광고 구성,긍정적 평가,모델|배경음악,,
520,귀여움,Not enough data,Not enough data,,,
521,배경이 호감을 갖게 합니다,비주얼,배경,호감|배경,,
522,너무 광고를 날로 찍으셨네요 돈좀 더들이세요,광고 전반,부정적,없음,날로 찍음|돈 더 들임 필요,
523,모델이 입은 옷이 너무 상큼하고 운동복이란 목적에 잘 어울린다.,모델,호감도 높음,상큼함|운동복|어울림,,
524,모델.,Not enough data,Not enough data,,,
525,젊음이 느껴진다,타겟 적합성,젊은층 타겟,젊음,,
526,모델,Not enough data,Not enough data,,,
527,자연속에서도 어울리고 도심속으로 뛰어가도 어울린다는 활동적인 느낌이 좋네요,광고 전반,신선함,활동성|자연|도심,,
528,신발이 이뻐보인다,제품/브랜드,디자인,신발|이쁨,,
529,광고가 산만해보여서,광고 전반,부정적,없음,산만함,
530,좋아하는 모델 자연스러운 연기,모델,호감도 높음,모델|자연스러운 연기,,
